,Y0,Y1,Y2,Y3,Y4,Y5
1,0.0,1.8127422018963193,2.2462441835565263,3.226996311914643,4.488079190587582,6.088176899297541
2,0.0,1.8127422018963193,2.2462441835565263,3.226996311914643,4.488079190587582,6.088176899297541
3,0.0,3.6912135070651146,4.57344832728986,6.604071939471707,9.458355669324394,13.08549437440496
4,0.0,3.7201354276847454,4.1198500486745875,5.302857136122367,7.014967567531902,9.245158037430995
5,0.0,2.357607334459444,3.165392910545329,4.303517350172058,5.690135316995941,7.541680601535621
6,0.0,2.6884560014411854,3.307675092897179,4.825663007554457,6.933509562042242,9.600593355712881
7,0.0,2.3859089632357655,3.6206903098784435,5.215652649269556,7.222963894247536,9.61038802898023
8,0.0,3.6912135070651146,4.57344832728986,6.604071939471707,9.458355669324394,13.08549437440496
9,0.0,3.894399531942757,4.791252697891527,5.9083814370888135,7.440121074577087,9.197166553139791
10,0.0,3.7201354276847454,4.1198500486745875,5.302857136122367,7.014967567531902,9.245158037430995
